Commuter,Casual,Tourist/Visitor,Concession/Student,hour,event
0.38738808,0.4031877,0.07396395,0.1354603,19.5,False
0.39180365,0.4013744,0.0734969,0.13332498,20.0,False
0.39623088,0.3994766,0.07306369,0.1312288,20.0,False
0.400741,0.397348,0.072700925,0.12921011,20.0,False
0.4053262,0.39499563,0.07240818,0.12726992,20.5,False
0.40997842,0.3924275,0.072185025,0.125409,20.5,False
0.41468886,0.38965213,0.07203114,0.12362797,20.5,False
0.41944832,0.38667834,0.07194619,0.12192718,21.0,False
0.4242471,0.38351595,0.07192994,0.120306976,21.0,False
0.42907512,0.3801751,0.07198225,0.11876754,21.0,False
0.4339218,0.37666625,0.07210299,0.117308855,21.5,False
0.4387763,0.3730006,0.072292134,0.11593099,21.5,False
0.44362724,0.36918923,0.07254968,0.11463379,21.5,False
0.44846314,0.36524397,0.072875746,0.11341715,22.0,False
0.4532721,0.36117655,0.073270485,0.11228081,22.0,False
0.45804211,0.35699916,0.07373411,0.11122464,22.0,False
0.46276093,0.35272384,0.074266896,0.11024833,22.5,False
0.4674162,0.34836295,0.07486916,0.1093517,22.5,False
0.4719956,0.34392864,0.075541295,0.10853447,22.5,False
0.47648674,0.3394331,0.076283745,0.10779643,23.0,False
0.5939315,0.11791729,0.19402584,0.094125345,8.0,True
0.59047574,0.118338354,0.19590387,0.095281966,8.0,True
0.5869806,0.118824355,0.19773623,0.096458875,8.0,True
0.5834536,0.11937448,0.19951804,0.09765393,8.5,True
0.5799026,0.11998793,0.20124453,0.09886494,8.5,True
0.5763353,0.120663874,0.20291111,0.100089625,8.5,True
0.57234234,0.12204437,0.20409317,0.101520054,9.0,True
0.5683445,0.12349537,0.20519751,0.10296264,9.0,True
0.5643487,0.12501663,0.20622002,0.10441456,9.0,True
0.5603621,0.12660798,0.20715696,0.105872974,9.5,True
0.55639154,0.128269,0.20800468,0.107334785,9.5,True
0.55244386,0.12999928,0.2087599,0.10879692,9.5,True
0.54852587,0.13179824,0.20941974,0.11025614,10.0,True
0.5453104,0.1337048,0.20922406,0.11176078,10.0,True
0.5422567,0.13568816,0.20878738,0.113267705,10.0,True
0.53942233,0.13783461,0.20805529,0.11468779,10.5,True
0.53670007,0.14007767,0.20714921,0.11607302,10.5,True
0.53406817,0.14240092,0.20609844,0.11743244,10.5,True
0.5316296,0.14464858,0.20501761,0.11870419,11.0,True
0.5293546,0.14687105,0.20386893,0.119905405,11.0,True
0.5271755,0.14917481,0.20257656,0.12107316,11.0,True
0.5250939,0.15155819,0.2011441,0.122203805,11.5,True
0.5231113,0.15401942,0.19957565,0.12329372,11.5,True
0.52122873,0.1565563,0.19787572,0.12433921,11.5,True
0.5194473,0.15916641,0.19604944,0.12533675,12.0,True
0.5177677,0.16184704,0.19410227,0.1262829,12.0,True
