start,date,station_id,time,Commuter,Casual,Tourist/Visitor,Concession/Student
5692,2023-05-27,37,20:40:00,22.26972198486328,58.03954315185547,10.48783016204834,9.202903747558594
5693,2023-05-27,48,20:50:00,23.03619956970215,56.71802520751953,10.198914527893066,10.046858787536621
5694,2023-05-27,52,21:00:00,22.127216339111328,56.572357177734375,11.54411792755127,9.756307601928711
5695,2023-05-27,37,21:10:00,23.83305549621582,58.19142150878906,8.370061874389648,9.605457305908203
5696,2023-05-27,177,21:20:00,22.01204490661621,56.1191291809082,10.989741325378418,10.879084587097168
5697,2023-05-27,37,21:30:00,22.286069869995117,55.9131965637207,10.262894630432129,11.537839889526367
5698,2023-05-27,177,21:40:00,24.805091857910156,55.56593704223633,9.935956001281738,9.693020820617676
5699,2023-05-27,177,21:50:00,28.97188377380371,48.96611404418945,10.452099800109863,11.609904289245605
5700,2023-05-27,118,22:00:00,17.85371208190918,56.01087188720703,16.31719207763672,9.818224906921387
5701,2023-05-27,59,22:10:00,15.62413501739502,60.25717544555664,14.934478759765625,9.18421459197998
5702,2023-05-27,59,22:20:00,14.345271110534668,57.758121490478516,19.42159652709961,8.475016593933105
5703,2023-05-27,39,22:30:00,27.507658004760742,53.87376403808594,9.141199111938477,9.477387428283691
5704,2023-05-27,39,22:40:00,27.234590530395508,53.4214973449707,9.735355377197266,9.608555793762207
5705,2023-05-27,159,22:50:00,15.092114448547363,60.35563278198242,14.020166397094727,10.532086372375488
5706,2023-05-27,73,23:00:00,22.518991470336914,55.26222610473633,11.97470474243164,10.244083404541016
5724,2023-05-28,145,08:00:00,25.542627334594727,32.446773529052734,15.579343795776367,26.431259155273438
5725,2023-05-28,134,08:10:00,22.707313537597656,28.479572296142578,25.79545783996582,23.017663955688477
5726,2023-05-28,167,08:20:00,20.472190856933594,55.959327697753906,8.336518287658691,15.231961250305176
5727,2023-05-28,136,08:30:00,40.43714141845703,31.66722297668457,6.969583988189697,20.926054000854492
5728,2023-05-28,89,08:40:00,24.818876266479492,29.109773635864258,20.54622459411621,25.525127410888672
5729,2023-05-28,167,08:50:00,22.796403884887695,42.51349639892578,17.722352981567383,16.967748641967773
5730,2023-05-28,175,09:00:00,19.059093475341797,43.51423263549805,22.008113861083984,15.418558120727539
5731,2023-05-28,65,09:10:00,16.975086212158203,47.797183990478516,24.24146842956543,10.9862642288208
5732,2023-05-28,159,09:20:00,16.757713317871094,57.40098190307617,11.676080703735352,14.1652250289917
5733,2023-05-28,134,09:30:00,18.72381591796875,39.47260665893555,26.759864807128906,15.043713569641113
5734,2023-05-28,89,09:40:00,19.694421768188477,24.87462615966797,26.02459144592285,29.406362533569336
5735,2023-05-28,134,09:50:00,25.502811431884766,33.16962432861328,29.54010009765625,11.78746223449707
5736,2023-05-28,65,10:00:00,13.733796119689941,41.318572998046875,33.95189666748047,10.995737075805664
5737,2023-05-28,176,10:10:00,26.97909164428711,48.988685607910156,8.619646072387695,15.412577629089355
5738,2023-05-28,139,10:20:00,18.26270294189453,28.66039276123047,7.0542521476745605,46.022647857666016
5739,2023-05-28,65,10:30:00,12.920207977294922,47.03065872192383,28.845304489135742,11.20382022857666
5740,2023-05-28,65,10:40:00,15.542333602905273,46.555145263671875,28.931854248046875,8.970664024353027
5741,2023-05-28,65,10:50:00,15.420700073242188,46.12329864501953,28.001840591430664,10.454160690307617
5742,2023-05-28,65,11:00:00,17.807159423828125,46.21255111694336,25.1828670501709,10.797417640686035
5743,2023-05-28,65,11:10:00,15.107078552246094,49.55254364013672,25.87748908996582,9.462879180908203
5744,2023-05-28,65,11:20:00,16.60077476501465,47.56608963012695,25.57921600341797,10.253917694091797
5745,2023-05-28,65,11:30:00,13.325352668762207,46.613983154296875,30.8602294921875,9.200433731079102
5746,2023-05-28,65,11:40:00,15.259632110595703,50.04590606689453,25.076011657714844,9.618459701538086
5747,2023-05-28,65,11:50:00,14.954375267028809,48.1009635925293,27.99498176574707,8.949676513671875
5748,2023-05-28,65,12:00:00,14.953825950622559,50.66289138793945,25.43545913696289,8.947827339172363
5749,2023-05-28,143,12:10:00,26.87812042236328,12.27297592163086,5.896828651428223,54.95206832885742
5750,2023-05-28,65,12:20:00,16.479909896850586,44.466102600097656,31.03188133239746,8.02209758758545
5751,2023-05-28,65,12:30:00,14.935855865478516,47.895050048828125,28.030244827270508,9.138846397399902
5752,2023-05-28,65,12:40:00,16.128787994384766,46.999237060546875,27.364425659179688,9.507553100585938
5753,2023-05-28,167,12:50:00,22.146135330200195,47.215335845947266,21.192007064819336,9.446518898010254
5754,2023-05-28,65,13:00:00,16.478071212768555,51.73192596435547,21.839941024780273,9.95005989074707
5755,2023-05-28,65,13:10:00,17.266101837158203,50.423118591308594,21.63433074951172,10.67644214630127
5756,2023-05-28,65,13:20:00,15.317878723144531,50.499176025390625,24.190906524658203,9.992048263549805
5757,2023-05-28,65,13:30:00,15.685680389404297,52.580196380615234,22.477102279663086,9.257020950317383
5758,2023-05-28,148,13:40:00,12.622236251831055,30.744577407836914,47.89133071899414,8.741852760314941
5759,2023-05-28,65,13:50:00,15.952422142028809,49.948307037353516,24.38888931274414,9.710386276245117
5760,2023-05-28,65,14:00:00,16.2491397857666,49.128543853759766,25.476646423339844,9.145669937133789
5761,2023-05-28,145,14:10:00,19.925594329833984,33.19603729248047,19.88930892944336,26.989057540893555
5762,2023-05-28,22,14:20:00,17.9483585357666,53.267127990722656,15.577919006347656,13.206594467163086
5763,2023-05-28,14,14:30:00,18.628557205200195,50.63871383666992,19.584583282470703,11.148143768310547
5764,2023-05-28,158,14:40:00,19.227020263671875,50.66611862182617,15.161713600158691,14.945148468017578
5765,2023-05-28,143,14:50:00,32.381595611572266,37.58363342285156,7.104922294616699,22.92984962463379
5766,2023-05-28,148,15:00:00,19.30266571044922,42.127593994140625,26.95146942138672,11.618267059326172
5767,2023-05-28,164,15:10:00,18.656131744384766,56.045082092285156,12.953535079956055,12.34524917602539
5768,2023-05-28,146,15:20:00,29.822906494140625,39.90506362915039,12.272305488586426,17.999719619750977
5769,2023-05-28,65,15:30:00,15.46047306060791,48.71659469604492,25.700366973876953,10.122563362121582
5770,2023-05-28,65,15:40:00,19.26524543762207,46.44633865356445,24.68629264831543,9.602120399475098
5771,2023-05-28,65,15:50:00,18.925207138061523,47.072242736816406,24.343175888061523,9.659374237060547
5772,2023-05-28,164,16:00:00,18.827072143554688,56.65385055541992,11.28012466430664,13.238951683044434
5773,2023-05-28,164,16:10:00,24.330530166625977,53.5909538269043,9.435291290283203,12.643214225769043
5774,2023-05-28,164,16:20:00,20.26474380493164,51.1544189453125,9.881860733032227,18.698984146118164
5775,2023-05-28,177,16:30:00,28.902950286865234,45.96078872680664,12.74081802368164,12.39543628692627
