epoch,train_loss,val_loss,lr,grad_norm_max,secs,improved,patience,timestamp,model
21,0.1183901293428389,0.1067061805790597,0.0003,0.4316816926002502,15.1,False,1,2026-07-30T13:04:53,TDAG-Net (persona-split)
22,0.1183463575420798,0.1076448802109603,0.0003,0.4044094681739807,14.9,False,2,2026-07-30T13:05:08,TDAG-Net (persona-split)
23,0.1175478489516855,0.1060345710797624,0.0003,0.4315097033977508,15.1,True,0,2026-07-30T13:05:23,TDAG-Net (persona-split)
24,0.1167877649049182,0.1068844494747591,0.0003,0.3264117240905761,15.2,False,1,2026-07-30T13:05:38,TDAG-Net (persona-split)
25,0.1162484015573512,0.1049723854841111,0.0003,0.4493168592453003,15.3,True,0,2026-07-30T13:05:54,TDAG-Net (persona-split)
26,0.116500055871822,0.1063930504433401,0.0003,0.373699426651001,15.2,False,1,2026-07-30T13:06:09,TDAG-Net (persona-split)
27,0.1155336995209966,0.1061251928190608,0.0003,0.3793363869190216,15.1,False,2,2026-07-30T13:06:24,TDAG-Net (persona-split)
28,0.1160262563726404,0.1051453172669305,0.0003,0.6763709783554077,15.1,False,3,2026-07-30T13:06:40,TDAG-Net (persona-split)
29,0.1150656966717688,0.1036008119091882,0.0003,0.3884742558002472,15.2,True,0,2026-07-30T13:06:55,TDAG-Net (persona-split)
30,0.1145850566553545,0.1034062767585555,0.0003,0.3470502495765686,15.2,True,0,2026-07-30T13:07:10,TDAG-Net (persona-split)
31,0.1146513613534497,0.1036341358180884,0.0003,0.3255191743373871,15.2,False,1,2026-07-30T13:07:25,TDAG-Net (persona-split)
32,0.1148877821638432,0.1040481360076547,0.0003,0.4546861350536346,11.1,False,2,2026-07-30T14:16:46,TDAG-Net (persona-split)
33,0.1137525297783233,0.1027877220249438,0.0003,0.3178861141204834,13.9,True,0,2026-07-30T14:17:00,TDAG-Net (persona-split)
34,0.1139274505796013,0.1025350262503047,0.0003,0.3369856774806976,13.9,True,0,2026-07-30T14:17:14,TDAG-Net (persona-split)
35,0.1133983448475271,0.1041656145518952,0.0003,0.4162558615207672,14.0,False,1,2026-07-30T14:17:28,TDAG-Net (persona-split)
36,0.1135569107565251,0.1027499405810466,0.0003,0.412975400686264,14.2,False,2,2026-07-30T14:17:42,TDAG-Net (persona-split)
37,0.1128953632581365,0.1017296159906046,0.0003,0.3614125847816467,14.5,True,0,2026-07-30T14:17:57,TDAG-Net (persona-split)
38,0.1128694475352109,0.1020003072508088,0.0003,0.3362948894500732,14.7,False,1,2026-07-30T14:18:12,TDAG-Net (persona-split)
39,0.1127991163468623,0.1026055567212157,0.0003,0.3732703626155853,14.9,False,2,2026-07-30T14:18:27,TDAG-Net (persona-split)
40,0.1125424719773806,0.1023069550539111,0.0003,0.3664985001087188,15.1,False,3,2026-07-30T14:18:42,TDAG-Net (persona-split)
41,0.1121069166686508,0.1016606045784531,0.0003,0.3646507859230041,15.2,True,0,2026-07-30T14:18:57,TDAG-Net (persona-split)
42,0.1118498216946046,0.1008573172839133,0.0003,0.3780159652233124,14.9,True,0,2026-07-30T14:19:12,TDAG-Net (persona-split)
43,0.1113684227833381,0.1004591460984486,0.0003,0.3482804000377655,14.9,True,0,2026-07-30T14:19:27,TDAG-Net (persona-split)
44,0.1116960861034445,0.1002561743934075,0.0003,0.637570321559906,14.9,True,0,2026-07-30T14:19:42,TDAG-Net (persona-split)
45,0.1110895222687459,0.1012474281283525,0.0003,0.3029848337173462,15.0,False,1,2026-07-30T14:19:57,TDAG-Net (persona-split)
46,0.110829136463312,0.1061162350105715,0.0003,0.3623247146606445,15.0,False,2,2026-07-30T14:20:13,TDAG-Net (persona-split)
47,0.1107087770988653,0.0995056928841622,0.0003,0.4136745035648346,15.0,True,0,2026-07-30T14:20:28,TDAG-Net (persona-split)
48,0.1108788341611296,0.1003837354563094,0.0003,0.4019232094287872,14.9,False,1,2026-07-30T14:20:43,TDAG-Net (persona-split)
49,0.1110807851448163,0.0996383321317997,0.0003,0.3851548135280609,14.8,False,2,2026-07-30T14:20:58,TDAG-Net (persona-split)
50,0.1106504390527913,0.0998410376218649,0.0003,0.3934265077114105,14.9,False,3,2026-07-30T14:21:12,TDAG-Net (persona-split)
51,0.1101098940267667,0.1009344260443698,0.0003,0.3742985427379608,14.9,False,4,2026-07-30T14:21:27,TDAG-Net (persona-split)
